name,hash,difficulty,id,length
Home Depot Theme Song,3F1DACFB11BAE00B17C9F576F07EB77E3148A029,ExpertPlus,9921,58.0
REDALiCE - Haachama Channel [Theme Song] (feat. Akai Haato),B4F3F4E5CACD3422EDA0EF199A24EE5D957AB53F,ExpertPlus,101a0,64.0
[RANKED] R O C K Y - 21st Century Humor But It's A Rave Song,5C6D84C52B7B1B387CA62D9217E99D9303D2E716,ExpertPlus,1c3e1,125.102
[RANKED] 23 - Pink Soldiers,B9B3134300F9C83A16845AC531C7441204EAC836,ExpertPlus,1ccb9,127.208
[RANKED] DJ Genki - Introduction,6BE290E33FD748CD678D4C38F1D59E582A44045F,ExpertPlus,29715,128.0
[Ranked] Porter Robinson - Fellow Feeling (Isqa Remix),06DDBE99BC8AF1EC819CE1A6D5F4760C9EDE6697,ExpertPlus,b2c0,139.808
Fvrwvrd - Amogus,8A40E06E3A4EB6DC56428B0A59B89219029C433D,ExpertPlus,18fdf,169.43
[Ranked] Doja Cat - Say So (Short Version),4A716D59AB416D73461590D2F43D552EA4AA00F8,ExpertPlus,10f6b,190.0
t+pazolite - Chapter 99: Afterword,5E51E3CAC6B1DC3376F776F6E6B961B754FF9CC4,ExpertPlus,15f74,190.0
amogsu,982D3905470C6755B49F72238603A5B33DE56B38,ExpertPlus,1689a,190.854
Onegai Muscle [Dumbbell Nan Kilo Moteru? Opening],7AA8BD16A692B8C8769D96CF96B9B259BEA2E862,ExpertPlus,56cb,192.875
Clown Core - Toilet [Chroma],E4423C51F7B3E4771A850EBE43E6F991464105CF,ExpertPlus,1b677,193.994
Gurenge (TV Size) [Demon Slayer: Kimetsu no Yaiba Opening] - LiSA,62A63AA11F61623FDD69411BF73AB1082D4558D6,ExpertPlus,1622c,196.0
Omiyaクラブ - KORO DISCO!,7A4CDD84F4752F88A7A99414E5959393EC539918,ExpertPlus,12df4,198.0
[⭐] My War (TV Size) - Shinsei Kamattechan [Chroma + Cinema] ,7DF05BEEBE378E3202E6DB2C2EE975A111924F62,ExpertPlus,21484,207.0
South Park - Kyle's Mom's a Bitch,7FDA5A2459B48226CC7DBAEDF9C31F5FD7AFF488,ExpertPlus,ce0,208.5
[Fitbeat] Nathan Evans - Wellerman (Sea Shanty - Nathan Evans x ARGULES) (Chroma),7357C2A3BBAAFD995EF7A384C101BF54CEF723B4,ExpertPlus,17726,214.066
Royal & the Serpent - Overwhelmed,B748894960A346F1568B9F4876643F1358CFA897,ExpertPlus,1181f,224.0
bbno$ & Rich Brian - edamame,B1566B1188848CC21B678670DB96CA42F74074C1,ExpertPlus,246e1,232.0
Kaibutsu/Monster (TV Size) [Beastars Season 2 Opening] - YOASOBI,08D9A92C273F6D06BAA30C5B70F182C902349578,ExpertPlus,11de5,242.0
